Date,CLEBI
2021-01-11,143.77540588378906
2021-01-12,149.1432342529297
2021-01-13,148.2348175048828
2021-01-14,151.4555206298828
2021-01-15,148.15223693847656
2021-01-18,146.33543395996094
2021-01-19,146.17027282714844
2021-01-20,146.8309326171875
2021-01-21,143.9405517578125
2021-01-22,142.7018280029297
2021-01-25,137.4165802001953
2021-01-26,137.08624267578125
2021-01-27,127.17639923095703
2021-01-28,134.8565216064453
2021-01-29,132.04873657226562
2021-02-01,129.901611328125
2021-02-02,130.0667724609375
2021-02-03,133.7003631591797
2021-02-04,135.18687438964844
2021-02-05,133.9481201171875
2021-02-08,131.71839904785156
2021-02-09,144.8489532470703
2021-02-10,148.15223693847656
2021-02-11,143.69281005859375
2021-02-12,139.4811248779297
2021-02-15,144.51861572265625
2021-02-16,140.05921936035156
2021-02-17,138.8204803466797
2021-02-18,138.07720947265625
2021-02-19,139.31594848632812
2021-02-22,140.3895263671875
2021-02-23,145.75735473632812
2021-02-24,140.4721221923828
2021-02-25,140.7198486328125
2021-02-26,138.32496643066406
2021-03-01,147.49159240722656
2021-03-02,162.19117736816406
2021-03-03,178.3772735595703
2021-03-04,170.1190643310547
2021-03-05,187.13099670410156
2021-03-08,205.79452514648438
2021-03-09,209.75848388671875
2021-03-10,230.7342987060547
2021-03-11,239.7357177734375
2021-03-12,259.88580322265625
2021-03-15,259.88580322265625
2021-03-16,250.0585174560547
2021-03-17,247.74624633789062
2021-03-18,272.5208435058594
2021-03-19,249.3978729248047
2021-03-22,224.45806884765625
2021-03-23,246.8378448486328
2021-03-24,253.52694702148438
2021-03-25,247.74624633789062
2021-03-26,247.4984588623047
2021-03-29,231.2298126220703
2021-03-30,230.23883056640625
2021-03-31,234.28533935546875
2021-04-01,257.65606689453125
2021-04-02,255.42636108398438
2021-04-05,255.17861938476562
2021-04-06,256.6650390625
2021-04-07,256.7476501464844
2021-04-08,247.25071716308594
2021-04-09,234.36790466308594
2021-04-12,222.14576721191406
2021-04-13,213.06175231933594
2021-04-14,219.09024047851562
2021-04-15,204.9687042236328
2021-04-16,195.80210876464844
2021-04-19,190.7646026611328
2021-04-20,179.53343200683594
2021-04-21,172.18362426757812
2021-04-22,177.13856506347656
2021-04-26,194.8111114501953
2021-04-27,183.1670379638672
2021-04-28,188.0393829345703
2021-04-29,182.67153930664062
2021-04-30,185.80967712402344
2021-05-03,204.39064025878906
2021-05-04,208.35458374023438
2021-05-05,205.62936401367188
2021-05-06,202.40867614746094
2021-05-07,200.92218017578125
2021-05-10,211.7404327392578
2021-05-11,210.83203125
2021-05-12,215.53919982910156
2021-05-17,232.88143920898438
2021-05-18,224.37551879882812
2021-05-20,234.69825744628906
2021-05-21,234.94601440429688
2021-05-24,239.32284545898438
2021-05-25,224.2103271484375
2021-05-26,230.98207092285156
2021-05-27,233.21176147460938
2021-05-28,229.16525268554688
2021-05-31,236.26731872558594
2021-06-01,234.78082275390625
2021-06-02,235.68923950195312
2021-06-03,237.01055908203125
2021-06-04,232.88143920898438
2021-06-07,227.0181121826172
2021-06-08,213.06175231933594
2021-06-09,206.20745849609375
2021-06-10,211.49270629882812
2021-06-11,190.35166931152344
2021-06-14,194.72853088378906
2021-06-15,187.04840087890625
2021-06-16,176.47789001464844
2021-06-17,176.3953094482422
2021-06-18,174.0830078125
2021-06-21,186.13999938964844
2021-06-22,185.64451599121094
2021-06-23,180.27667236328125
2021-06-24,178.21212768554688
2021-06-25,176.31272888183594
2021-06-28,168.46743774414062
2021-06-29,160.4569854736328
2021-06-30,165.82481384277344
2021-07-01,173.2572021484375
2021-07-02,168.71517944335938
2021-07-05,167.6416015625
2021-07-06,164.3383331298828
2021-07-07,163.51251220703125
2021-07-08,158.9705047607422
2021-07-09,155.74978637695312
2021-07-12,147.24383544921875
2021-07-13,145.09671020507812
2021-07-14,148.31739807128906
2021-07-16,153.85040283203125
2021-07-19,149.55615234375
2021-07-26,139.81146240234375
2021-07-27,146.7483367919922
2021-07-28,143.44505310058594
2021-07-29,146.50059509277344
2021-07-30,146.8309326171875
2021-08-02,149.3083953857422
2021-08-03,146.17027282714844
2021-08-04,145.34445190429688
2021-08-05,145.01412963867188
2021-08-06,145.01412963867188
2021-08-09,145.75735473632812
2021-08-10,144.10572814941406
2021-08-11,140.80242919921875
2021-08-12,141.29794311523438
2021-08-13,140.224365234375
2021-08-16,144.93154907226562
2021-08-17,143.0321502685547
2021-08-18,140.7198486328125
2021-08-19,139.97662353515625
2021-08-20,137.74691772460938
2021-08-23,140.4721221923828
2021-08-24,154.5110626220703
2021-08-25,149.4735565185547
2021-08-26,150.87744140625
2021-08-27,146.7483367919922
2021-08-31,145.83995056152344
2021-09-01,146.2528533935547
2021-09-02,144.27088928222656
2021-09-03,142.53668212890625
2021-09-06,140.30694580078125
2021-09-07,137.08624267578125
2021-09-08,139.31594848632812
2021-09-09,140.05921936035156
2021-09-10,134.60877990722656
2021-09-13,135.3520050048828
2021-09-14,132.62681579589844
2021-09-15,128.91062927246094
2021-09-16,127.01123809814453
2021-09-17,132.13131713867188
2021-09-20,129.6538543701172
2021-09-21,129.6538543701172
2021-09-22,129.3235321044922
2021-09-23,134.0307159423828
2021-09-24,136.67333984375
2021-09-27,136.5907440185547
2021-09-28,132.70938110351562
2021-09-29,129.4886932373047
2021-09-30,130.3970947265625
2021-10-01,130.0667724609375
2021-10-04,128.82803344726562
2021-10-05,128.91062927246094
2021-10-06,124.86409759521484
2021-10-07,125.27700805664062
2021-10-08,125.60733032226562
2021-10-11,130.47967529296875
2021-10-12,128.16737365722656
2021-10-13,128.6628875732422
2021-10-14,126.10283660888672
2021-10-15,127.58930969238281
2021-10-18,126.26797485351562
2021-10-19,127.50672149658203
2021-10-20,126.59832763671875
2021-10-21,124.53376007080078
2021-10-22,126.02025604248047
2021-10-25,126.68089294433594
2021-10-26,133.5352020263672
2021-10-27,137.08624267578125
2021-10-28,136.2604217529297
2021-11-01,141.62826538085938
2021-11-02,139.563720703125
2021-11-03,141.62826538085938
2021-11-04,155.74978637695312
2021-11-05,155.0065460205078
2021-11-08,165.16415405273438
2021-11-09,162.76927185058594
2021-11-10,160.209228515625
2021-11-11,154.0155792236328
2021-11-12,155.41946411132812
2021-11-15,154.59364318847656
2021-11-16,151.78585815429688
2021-11-17,150.71229553222656
2021-11-18,147.98709106445312
2021-11-19,145.17930603027344
2021-11-22,147.32640075683594
2021-11-23,147.40899658203125
2021-11-24,154.42849731445312
2021-11-25,150.3819580078125
2021-11-26,143.11474609375
2021-11-29,143.9405517578125
2021-11-30,141.9585723876953
2021-12-01,147.82191467285156
2021-12-02,148.89549255371094
2021-12-03,151.53811645507812
2021-12-06,155.17172241210938
2021-12-07,161.86087036132812
2021-12-08,171.85330200195312
2021-12-09,184.1580352783203
2021-12-10,184.2406005859375
2021-12-13,180.85475158691406
2021-12-14,177.55145263671875
2021-12-15,177.2211456298828
2021-12-16,183.24961853027344
2021-12-17,167.22869873046875
2021-12-20,166.5680389404297
2021-12-21,151.0426025390625
2021-12-22,145.34445190429688
2021-12-23,142.28890991210938
2021-12-24,151.86843872070312
2021-12-27,147.82191467285156
2021-12-28,145.17930603027344
2021-12-29,145.34445190429688
2021-12-30,143.69281005859375
2021-12-31,144.51861572265625
2022-01-03,150.46453857421875
2022-01-04,160.2918243408203
2022-01-05,162.3563690185547
2022-01-06,161.53054809570312
2022-01-07,163.51251220703125
2022-01-10,179.86376953125
2022-01-11,179.9463348388672
2022-01-12,182.91928100585938
2022-01-13,191.0949249267578
2022-01-14,187.4613037109375
2022-01-17,188.0393829345703
2022-01-18,179.53343200683594
2022-01-19,181.10247802734375
2022-01-20,177.63404846191406
2022-01-21,174.74366760253906
2022-01-24,165.4944610595703
2022-01-25,163.92539978027344
2022-01-26,176.31272888183594
2022-01-27,183.33221435546875
2022-01-28,181.2676544189453
2022-01-31,179.36827087402344
2022-02-01,181.18505859375
2022-02-02,177.30369567871094
2022-02-03,174.5784912109375
2022-02-04,171.60556030273438
2022-02-07,175.81723022460938
2022-02-08,173.83526611328125
2022-02-09,177.7166290283203
2022-02-10,174.6610870361328
2022-02-11,177.63404846191406
2022-02-14,172.3488006591797
2022-02-15,178.70761108398438
2022-02-16,174.33078002929688
2022-02-17,173.75267028808594
2022-02-18,173.9178466796875
2022-02-21,180.19407653808594
2022-02-22,182.01089477539062
2022-02-23,175.23915100097656
2022-02-24,157.73178100585938
2022-02-25,164.42092895507812
2022-02-28,155.83236694335938
2022-03-01,154.59364318847656
2022-03-02,154.7587890625
2022-03-03,155.08914184570312
2022-03-04,150.87744140625
2022-03-07,146.50059509277344
2022-03-08,146.99610900878906
2022-03-09,155.25430297851562
2022-03-10,154.09815979003906
2022-03-11,159.6311492919922
2022-03-14,175.5695037841797
2022-03-15,178.95535278320312
2022-03-16,179.6160125732422
2022-03-17,189.69102478027344
2022-03-18,184.90126037597656
2022-03-21,196.13243103027344
2022-03-22,198.11439514160156
2022-03-23,193.65496826171875
2022-03-24,189.19552612304688
2022-03-25,186.30517578125
2022-03-28,189.52587890625
