,Mean (Ortalama),Variance (Risk),Skewness (Çarpıklık),Kurtosis (Basıklık)
CLEBI,0.0024978342372320842,0.0011671794163851555,0.5763415162595443,1.7489814466945504
PGSUS,0.002507808325557711,0.0008001416110127531,0.5009955130331362,3.2790970860258657
THYAO,0.0028678754784351476,0.0006914249298083481,0.6739602784314433,5.216171811238209
