Date,PGSUS
2021-01-11,14.618627548217773
2021-01-12,14.9459867477417
2021-01-13,15.201736450195312
2021-01-14,16.081514358520508
2021-01-15,15.713234901428223
2021-01-18,15.703004837036133
2021-01-19,16.429332733154297
2021-01-20,16.061054229736328
2021-01-21,15.64162540435791
2021-01-22,15.324496269226074
2021-01-25,14.772076606750488
2021-01-26,14.853917121887207
2021-01-27,14.086668968200684
2021-01-28,14.853917121887207
2021-01-29,14.444718360900879
2021-02-01,14.40379810333252
2021-02-02,14.495867729187012
2021-02-03,14.618627548217773
2021-02-04,14.812996864318848
2021-02-05,15.038057327270508
2021-02-08,14.956216812133789
2021-02-09,15.038057327270508
2021-02-10,15.119895935058594
2021-02-11,14.864147186279297
2021-02-12,14.618627548217773
2021-02-15,15.211965560913086
2021-02-16,14.874377250671387
2021-02-17,14.782306671142578
2021-02-18,14.956216812133789
2021-02-19,15.027827262878418
2021-02-22,15.65185546875
2021-02-23,17.217039108276367
2021-02-24,16.94083023071289
2021-02-25,18.08658790588379
2021-02-26,18.24003791809082
2021-03-01,18.10704803466797
2021-03-02,18.84360694885254
2021-03-03,18.516246795654297
2021-03-04,18.321876525878906
2021-03-05,18.014978408813477
2021-03-08,17.595548629760742
2021-03-09,18.168428421020508
2021-03-10,17.953598022460938
2021-03-11,18.24003791809082
2021-03-12,17.35003089904785
2021-03-15,17.52393913269043
2021-03-16,17.69784927368164
2021-03-17,17.595548629760742
2021-03-18,17.1147403717041
2021-03-19,16.67485237121582
2021-03-22,15.007367134094238
2021-03-23,14.495867729187012
2021-03-24,15.314266204833984
2021-03-25,15.140356063842773
2021-03-26,15.324496269226074
2021-03-29,15.171046257019043
2021-03-30,15.007367134094238
2021-03-31,14.751617431640625
2021-04-01,15.089205741882324
2021-04-02,15.089205741882324
2021-04-05,15.590475082397461
2021-04-06,15.242655754089355
2021-04-07,15.334726333618164
2021-04-08,14.833456993103027
2021-04-09,14.219658851623535
2021-04-12,13.994600296020508
2021-04-13,14.117359161376953
2021-04-14,14.137819290161133
2021-04-15,13.994600296020508
2021-04-16,13.728619575500488
2021-04-19,13.626320838928223
2021-04-20,12.84884262084961
2021-04-21,12.439643859863281
2021-04-22,12.910223007202148
2021-04-26,13.933219909667969
2021-04-27,14.035518646240234
2021-04-28,14.40379810333252
2021-04-29,14.301499366760254
2021-04-30,15.048286437988281
2021-05-03,16.3270320892334
2021-05-04,16.52140235900879
2021-05-05,16.245193481445312
2021-05-06,16.65439224243164
2021-05-07,16.644161224365234
2021-05-10,17.17612075805664
2021-05-11,16.746461868286133
2021-05-12,17.472789764404297
2021-05-17,17.247730255126953
2021-05-18,16.787382125854492
2021-05-20,16.746461868286133
2021-05-21,16.705541610717773
2021-05-24,16.65439224243164
2021-05-25,15.938294410705566
2021-05-26,16.214502334594727
2021-05-27,16.777151107788086
2021-05-28,16.644161224365234
2021-05-31,17.012441635131836
2021-06-01,16.971521377563477
2021-06-02,16.858991622924805
2021-06-03,16.6953125
2021-06-04,16.71577262878418
2021-06-07,16.879451751708984
2021-06-08,16.930601119995117
2021-06-09,17.02267074584961
2021-06-10,16.797611236572266
2021-06-11,16.582782745361328
2021-06-14,16.50094223022461
2021-06-15,16.122432708740234
2021-06-16,15.672314643859863
2021-06-17,15.784844398498535
2021-06-18,15.815533638000488
2021-06-21,16.214502334594727
2021-06-22,16.367952346801758
2021-06-23,16.09174346923828
2021-06-24,16.204273223876953
2021-06-25,15.805303573608398
2021-06-28,15.048286437988281
2021-06-29,14.526557922363281
2021-06-30,14.741387367248535
2021-07-01,15.559784889221191
2021-07-02,15.948524475097656
2021-07-05,15.95875358581543
2021-07-06,15.692774772644043
2021-07-07,15.477945327758789
2021-07-08,15.007367134094238
2021-07-09,15.007367134094238
2021-07-12,14.659547805786133
2021-07-13,14.700467109680176
2021-07-14,14.812996864318848
2021-07-16,14.649317741394043
2021-07-19,14.434488296508789
2021-07-26,13.912759780883789
2021-07-27,14.6083984375
2021-07-28,14.516327857971191
2021-07-29,14.659547805786133
2021-07-30,14.454948425292969
2021-08-02,14.321958541870117
2021-08-03,14.035518646240234
2021-08-04,13.820690155029297
2021-08-05,14.086668968200684
2021-08-06,14.219658851623535
2021-08-09,14.669777870178223
2021-08-10,14.39356803894043
2021-08-11,14.148049354553223
2021-08-12,14.39356803894043
2021-08-13,14.485637664794922
2021-08-16,14.669777870178223
2021-08-17,14.454948425292969
2021-08-18,14.117359161376953
2021-08-19,14.178738594055176
2021-08-20,14.199198722839355
2021-08-23,14.454948425292969
2021-08-24,14.833456993103027
2021-08-25,14.690237998962402
2021-08-26,14.741387367248535
2021-08-27,14.454948425292969
2021-08-31,14.444718360900879
2021-09-01,14.628857612609863
2021-09-02,14.58793830871582
2021-09-03,14.506097793579102
2021-09-06,14.710697174072266
2021-09-07,14.35264778137207
2021-09-08,14.332188606262207
2021-09-09,14.301499366760254
2021-09-10,13.943449974060059
2021-09-13,13.9025297164917
2021-09-14,13.912759780883789
2021-09-15,13.636550903320312
2021-09-16,13.912759780883789
2021-09-17,14.4242582321167
2021-09-20,14.137819290161133
2021-09-21,14.240118980407715
2021-09-22,14.700467109680176
2021-09-23,14.58793830871582
2021-09-24,14.680007934570312
2021-09-27,15.365415573120117
2021-09-28,15.713234901428223
2021-09-29,15.65185546875
2021-09-30,15.928064346313477
2021-10-01,15.95875358581543
2021-10-04,15.508634567260742
2021-10-05,15.784844398498535
2021-10-06,15.293806076049805
2021-10-07,15.375645637512207
2021-10-08,15.43702507019043
2021-10-11,15.846223831176758
2021-10-12,15.784844398498535
2021-10-13,15.938294410705566
2021-10-14,16.163352966308594
2021-10-15,16.61347198486328
2021-10-18,16.398643493652344
2021-10-19,16.71577262878418
2021-10-20,16.02013397216797
2021-10-21,16.081514358520508
2021-10-22,16.09174346923828
2021-10-25,16.04059410095215
2021-10-26,16.204273223876953
2021-10-27,16.265653610229492
2021-10-28,16.296342849731445
2021-11-01,16.470251083374023
2021-11-02,16.6953125
2021-11-03,17.15566062927246
2021-11-04,18.188888549804688
2021-11-05,18.91521453857422
2021-11-08,19.058435440063477
2021-11-09,19.662002563476562
2021-11-10,19.702922821044922
2021-11-11,19.78476333618164
2021-11-12,20.26557159423828
2021-11-15,20.746379852294922
2021-11-16,20.347410202026367
2021-11-17,20.725919723510742
2021-11-18,20.664539337158203
2021-11-19,18.966365814208984
2021-11-22,19.232345581054688
2021-11-23,19.518783569335938
2021-11-24,21.462478637695312
2021-11-25,20.03028106689453
2021-11-26,18.06612777709961
2021-11-29,18.383256912231445
2021-11-30,18.00474739074707
2021-12-01,18.9356746673584
2021-12-02,18.62877655029297
2021-12-03,19.017515182495117
2021-12-06,19.324413299560547
2021-12-07,19.754072189331055
2021-12-08,20.5008602142334
2021-12-09,21.462478637695312
2021-12-10,21.421558380126953
2021-12-13,21.25787925720215
2021-12-14,20.971439361572266
2021-12-15,21.360177993774414
2021-12-16,22.096736907958984
2021-12-17,19.897293090820312
2021-12-20,19.232345581054688
2021-12-21,17.902448654174805
2021-12-22,17.02267074584961
2021-12-23,16.899911880493164
2021-12-24,18.39348793029785
2021-12-27,17.98428726196289
2021-12-28,17.65692901611328
2021-12-29,18.04566764831543
2021-12-30,17.421640396118164
2021-12-31,17.380720138549805
2022-01-03,18.373027801513672
2022-01-04,19.498323440551758
2022-01-05,20.296260833740234
2022-01-06,20.869140625
2022-01-07,20.664539337158203
2022-01-10,21.646617889404297
2022-01-11,21.605697631835938
2022-01-12,21.339719772338867
2022-01-13,21.687538146972656
2022-01-14,21.564777374267578
2022-01-17,21.605697631835938
2022-01-18,20.03028106689453
2022-01-19,20.26557159423828
2022-01-20,20.234882354736328
2022-01-21,20.03028106689453
2022-01-24,18.485557556152344
2022-01-25,18.690156936645508
2022-01-26,19.907522201538086
2022-01-27,21.89213752746582
2022-01-28,21.87167739868164
2022-01-31,22.055816650390625
2022-02-01,21.646617889404297
2022-02-02,21.13511848449707
2022-02-03,20.684999465942383
2022-02-04,20.7668399810791
2022-02-07,21.421558380126953
2022-02-08,21.278339385986328
2022-02-09,22.076276779174805
2022-02-10,21.85121726989746
2022-02-11,22.014896392822266
2022-02-14,21.25787925720215
2022-02-15,22.096736907958984
2022-02-16,22.710535049438477
2022-02-17,22.096736907958984
2022-02-18,22.56731414794922
2022-02-21,22.505935668945312
2022-02-22,22.19903564453125
2022-02-23,21.89213752746582
2022-02-24,19.702922821044922
2022-02-25,20.562240600585938
2022-02-28,19.13004493713379
2022-03-01,18.434406280517578
2022-03-02,18.536706924438477
2022-03-03,18.58785629272461
2022-03-04,18.168428421020508
2022-03-07,17.452329635620117
2022-03-08,17.094280242919922
2022-03-09,17.67738914489746
2022-03-10,17.554628372192383
2022-03-11,18.270727157592773
2022-03-14,18.731075286865234
2022-03-15,19.017515182495117
2022-03-16,19.396024703979492
2022-03-17,19.518783569335938
2022-03-18,19.396024703979492
2022-03-21,19.43694305419922
2022-03-22,19.63131332397461
2022-03-23,19.74384307861328
2022-03-24,19.488094329833984
2022-03-25,19.529014587402344
2022-03-28,19.876832962036133
2022-03-29,21.13511848449707
2022-03-30,21.89213752746582
2022-03-31,22.035356521606445
2022-04-01,21.89213752746582
2022-04-04,22.035356521606445
2022-04-05,22.21949577331543
2022-04-06,22.014896392822266
2022-04-07,22.19903564453125
2022-04-08,22.383176803588867
2022-04-11,24.01997184753418
2022-04-12,25.124807357788086
2022-04-13,24.9406681060791
2022-04-14,24.9406681060791
2022-04-15,25.06342887878418
2022-04-18,25.165727615356445
2022-04-19,25.881826400756836
2022-04-20,25.574926376342773
2022-04-21,26.39332389831543
2022-04-22,27.661840438842773
2022-04-25,26.659303665161133
2022-04-26,26.147804260253906
2022-04-27,27.211721420288086
2022-04-28,27.620920181274414
2022-04-29,27.35494041442871
2022-05-05,27.580001831054688
2022-05-06,27.273101806640625
2022-05-09,27.35494041442871
2022-05-10,27.15034294128418
2022-05-11,25.452167510986328
2022-05-12,25.452167510986328
2022-05-13,25.861366271972656
2022-05-16,25.922744750976562
2022-05-17,26.597923278808594
2022-05-18,27.170801162719727
2022-05-20,26.945741653442383
2022-05-23,26.986661911010742
2022-05-24,26.47516441345215
2022-05-25,26.7616024017334
2022-05-26,27.191261291503906
2022-05-27,27.41632080078125
2022-05-30,29.58507537841797
2022-05-31,29.19633674621582
2022-06-01,28.950817108154297
2022-06-02,29.278175354003906
2022-06-03,28.643917083740234
2022-06-06,29.789674758911133
2022-06-07,32.30624771118164
2022-06-08,31.876588821411133
2022-06-09,35.04787826538086
2022-06-10,34.249942779541016
2022-06-13,33.902122497558594
2022-06-14,34.12718200683594
2022-06-15,35.232017517089844
2022-06-16,35.41615676879883
2022-06-17,35.334320068359375
2022-06-20,38.17824935913086
2022-06-21,38.15779113769531
2022-06-22,38.362388610839844
2022-06-23,37.15525436401367
2022-06-24,37.564453125
2022-06-27,37.339393615722656
2022-06-28,36.11179733276367
2022-06-29,34.39316177368164
2022-06-30,34.98649978637695
2022-07-01,37.64629364013672
2022-07-04,36.93019485473633
2022-07-05,36.3163948059082
2022-07-06,37.564453125
2022-07-07,37.01203536987305
2022-07-08,36.72559356689453
2022-07-13,36.72559356689453
2022-07-14,36.13225555419922
2022-07-18,37.032493591308594
2022-07-19,37.912269592285156
2022-07-20,37.64629364013672
2022-07-21,36.35731506347656
2022-07-22,34.781898498535156
2022-07-25,34.51592254638672
2022-07-26,33.9635009765625
2022-07-27,34.06580352783203
2022-07-28,34.2294807434082
2022-07-29,34.35224151611328
2022-08-01,34.966041564941406
2022-08-02,35.06834030151367
2022-08-03,35.49799728393555
2022-08-04,35.55937957763672
2022-08-05,35.866275787353516
2022-08-08,36.009498596191406
2022-08-09,36.72559356689453
2022-08-10,36.52099609375
2022-08-11,37.15525436401367
2022-08-12,36.60283660888672
2022-08-15,37.40077209472656
2022-08-16,40.510684967041016
2022-08-17,43.313697814941406
2022-08-18,44.47991180419922
2022-08-19,43.66151428222656
2022-08-22,43.15001678466797
2022-08-23,42.37253952026367
2022-08-24,41.492759704589844
2022-08-25,42.43391799926758
2022-08-26,41.69736099243164
2022-08-29,41.90195846557617
2022-08-31,42.69989776611328
2022-09-01,42.14748001098633
2022-09-02,42.43391799926758
2022-09-05,44.52083206176758
2022-09-06,44.88911056518555
2022-09-07,47.7944221496582
2022-09-08,49.758575439453125
2022-09-09,49.3493766784668
2022-09-12,51.66135025024414
2022-09-13,49.103858947753906
2022-09-14,51.49767303466797
2022-09-15,52.4388313293457
2022-09-16,52.58205032348633
2022-09-19,49.513057708740234
2022-09-20,50.37237548828125
2022-09-21,48.715118408203125
2022-09-22,49.63581848144531
2022-09-23,52.00917053222656
2022-09-26,50.53605651855469
2022-09-27,49.73811721801758
2022-09-28,49.20615768432617
2022-09-29,48.53097915649414
2022-09-30,48.73558044433594
2022-10-03,51.927330017089844
2022-10-04,55.95793914794922
2022-10-05,57.205997467041016
2022-10-06,56.0806999206543
2022-10-07,55.42597961425781
2022-10-10,55.160003662109375
2022-10-11,53.91194534301758
2022-10-12,54.34160232543945
2022-10-13,56.019317626953125
2022-10-14,59.08831024169922
2022-10-17,64.53065490722656
2022-10-18,63.425819396972656
2022-10-19,65.53319549560547
2022-10-20,67.57918548583984
2022-10-21,67.21090698242188
2022-10-24,66.55619049072266
2022-10-25,65.47180938720703
2022-10-26,66.41297149658203
2022-10-27,66.29020690917969
2022-10-28,64.81709289550781
2022-10-31,65.51273345947266
2022-11-01,67.19044494628906
2022-11-02,65.69686889648438
2022-11-03,71.71209716796875
2022-11-04,71.40519714355469
2022-11-07,73.51256561279297
2022-11-08,77.7477798461914
2022-11-09,79.99836730957031
2022-11-10,79.03675079345703
2022-11-11,77.82962036132812
2022-11-14,76.8066177368164
2022-11-15,77.7477798461914
2022-11-16,75.1902847290039
2022-11-17,76.2337417602539
2022-11-18,70.85277557373047
2022-11-21,69.60472106933594
2022-11-22,70.68909454345703
2022-11-23,74.98568725585938
2022-11-24,75.86546325683594
2022-11-25,77.91145324707031
2022-11-28,77.29766082763672
2022-11-29,79.07767486572266
2022-11-30,80.20297241210938
2022-12-01,83.4765625
2022-12-02,84.60186004638672
2022-12-05,88.36648559570312
2022-12-06,86.5455551147461
2022-12-07,85.68623352050781
2022-12-08,85.27703857421875
2022-12-09,90.02374267578125
2022-12-12,96.95966339111328
2022-12-13,96.5709228515625
2022-12-14,96.16172790527344
2022-12-15,95.20010375976562
2022-12-16,94.70906829833984
2022-12-19,99.41485595703125
2022-12-20,104.18202209472656
2022-12-21,103.73190307617188
2022-12-22,101.68590545654297
2022-12-23,101.95188903808594
2022-12-26,103.01580810546875
2022-12-27,103.17948150634766
2022-12-28,99.43531799316406
2022-12-29,98.33048248291016
2022-12-30,98.20771789550781
2023-01-02,103.09764862060547
2023-01-03,100.8061294555664
2023-01-04,98.88289642333984
2023-01-05,97.69622039794922
2023-01-06,97.88036346435547
2023-01-09,95.89574432373047
2023-01-10,93.05181121826172
2023-01-11,87.56855010986328
2023-01-12,91.94697570800781
2023-01-13,95.5888442993164
