,Mean (Ortalama),Variance (Varyans/Risk),Skewness (Çarpıklık),Kurtosis (Basıklık)
CLEBI,-0.00020928109042690833,0.0008427382910543236,0.31003172207607255,1.7881765988812788
PGSUS,-2.4969355648530812e-05,0.0005066904457739905,0.18691761019582742,3.2427968844219954
THYAO,0.0002404100741396675,0.00038500530666238353,0.11734962831250656,3.0303710877269223
