,CLEBI,PGSUS,THYAO
CLEBI,1.0,0.8222203425671938,0.5083405282687006
PGSUS,0.8222203425671938,1.0,0.6344783691784295
THYAO,0.5083405282687006,0.6344783691784295,1.0
